"Stop name","City"
"Dyrekcyjna","Wrocław"
"Działdowska","Wrocław"
"Dzielna","Wrocław"
"EPI","Wrocław"
"Eureka","Wrocław"
"Fadroma","Wrocław"
"FAT","Wrocław"
"Fieldorfa","Wrocław"
"Fieldorfa (Szpital)","Wrocław"
"Fiołkowa","Wrocław"
"Forum Muzyki","Wrocław"
"GAJ","Wrocław"
"GAJ","Wrocław"
"Gajowa","Wrocław"
"Gajowa (Dawida)","Wrocław"
"Gajowicka","Wrocław"
"Gajowicka (Gimnazjum nr 23)","Wrocław"
"GAJ - pętla","Wrocław"
"GALERIA DOMINIKAŃSKA","Wrocław"
"Gałczyńskiego","Wrocław"
"Gałowska","Wrocław"
"GAŁÓW","Wrocław"
"GAŁÓW (pętla)","Wrocław"
"Gałów - ferma","Wrocław"
"Gałów - PGR","Wrocław"
"Gałów - Przedszkole","Wrocław"
"Gazowa","Wrocław"
"Gądowianka","Wrocław"
"Gąsiorowskiego","Wrocław"
"Gęsia","Wrocław"
"Gimnazjum nr 23","Wrocław"
"Glinianki","Wrocław"
"Głogowska","Wrocław"
"Główna","Wrocław"
"Głubczycka","Wrocław"
"Godebskiego","Wrocław"
"Godzieszowa","Wrocław"
"Godzieszowa (na wys. nr 8)","Wrocław"
"Godzieszowa - stajnia","Wrocław"
"Godzieszowa - transformator","Wrocław"
"Gorlicka","Wrocław"
"Gospodarska","Wrocław"
"Góra Kapliczna","Wrocław"
"Górnickiego","Wrocław"
"Górnicza","Wrocław"
"GRABISZYNEK","Wrocław"
"Grabiszyńska","Wrocław"
"GRABISZYŃSKA (Cmentarz)","Wrocław"
"GRABISZYŃSKA (Cmentarz II)","Wrocław"
"Grabowa","Wrocław"
"Graniczna","Wrocław"
"Graniczna (Strachowicka)","Wrocław"
"Grawerska","Wrocław"
"Groblice II-Kotowicka","Wrocław"
"Groblice - Kolejowa","Wrocław"
"Grochowa","Wrocław"
"Gromadzka","Wrocław"
"Grudziądzka","Wrocław"
"Grunwaldzka","Wrocław"
"Grzybowa","Wrocław"
"Gwiaździsta","Wrocław"
"Hala Orbita","Wrocław"
"Hala Stulecia","Wrocław"
"Hala Targowa","Wrocław"
"HALLERA","Wrocław"
"Hartmana","Wrocław"
"Hermanowska","Wrocław"
"Hippiczna","Wrocław"
"Hotel Wrocław","Wrocław"
"Hubska","Wrocław"
"Hubska (Dawida)","Wrocław"
"Husarska","Wrocław"
"Hutmen","Wrocław"
"Hutnicza","Wrocław"
"Hynka","Wrocław"
"Ibn Siny Avicenny","Wrocław"
"Inflancka","Wrocław"
"Inowrocławska","Wrocław"
"Inżynierska","Wrocław"
"Irysowa","Wrocław"
"Iwiny (Rondo)","Wrocław"
"Iwiny - Brochowska","Wrocław"
"Iwiny - Kolejowa","Wrocław"
"IWINY - pętla","Wrocław"
"Iwiny - Polna","Wrocław"
"Iwiny - Słoneczna","Wrocław"
"Jabłeczna","Wrocław"
"Jagodno","Wrocław"
"JAKSONOWICE","Wrocław"
"Jaksonowice (na wys. bud 27)","Wrocław"
"Jaksonowice - skrzy.","Wrocław"
"Janówek","Wrocław"
"JANÓWEK (WOŚ)","Wrocław"
"Januszkowice","Wrocław"
"Januszkowice - skrzy. Kępa","Wrocław"
"Januszkowice - Wierzbowa","Wrocław"
"Januszkowice - Wrocławska","Wrocław"
"Jarnołtowska","Wrocław"
"JARNOŁTÓW","Wrocław"
"Jarocińska","Wrocław"
"Jarzębinowa","Wrocław"
"Jastrzębia","Wrocław"
"Jaszkotle","Wrocław"
"Jaworowa","Wrocław"
"Jedności Narodowej","Wrocław"
"Jeleniogórska","Wrocław"
"Jerzmanowo","Wrocław"
"Jerzmanowo (Cmentarz)","Wrocław"
"JERZMANOWO (Cmentarz I)","Wrocław"
"JERZMANOWO (Cmentarz II)","Wrocław"
"JERZMANOWO (Pętla)","Wrocław"
"Jerzmanowska","Wrocław"
"JERZMANOWSKA (Pętla)","Wrocław"
"Jędrzejowska","Wrocław"
"Joannitów","Wrocław"
"Jordanowska","Wrocław"
"Jutrosińska","Wrocław"
"Jutrzenki","Wrocław"
"Kaczorowskiego","Wrocław"
"Kadłubka","Wrocław"
"Kajdasza","Wrocław"
"Kamienna","Wrocław"
"Kamiennogórska","Wrocław"
"Kamieńskiego","Wrocław"
"KAMIEŃSKIEGO (Pętla)","Wrocław"
"Kamieńskiego szpital","Wrocław"
"Kamień Brylantowa","Wrocław"
"Kamień Diamentowa","Wrocław"
"Kamień I","Wrocław"
"Kamień II","Wrocław"
"Kamień Jantarowa","Wrocław"
"Kamień - Bursztynowa","Wrocław"
"Kamień - skrzy.","Wrocław"
"Karłowicza","Wrocław"
"Karwińska","Wrocław"
"Kasprowicza","Wrocław"
"Katedra","Wrocław"
"Kątna","Wrocław"
"Kątowa","Wrocław"
"Kąty Wilczyckie","Wrocław"
"Kępa","Wrocław"
"Kępa - skrzy.","Wrocław"
"Kępa - Skrzyżowanie","Wrocław"
"Kępińska","Wrocław"
"Kętrzyńska","Wrocław"
"Kiełczowska","Wrocław"
"Kiełczowska (LZN)","Wrocław"
"KIEŁCZOWSKA (LZN)","Wrocław"
"Kiełczowska (cmentarz)","Wrocław"
"KIEŁCZÓW","Wrocław"
"Kiełczówek","Wrocław"
"Kiełczówek - pętla","Wrocław"
"Kiełczów Południowa","Wrocław"
"Kiełczów Wschodnia","Wrocław"
"Kiełczów - Biedronka","Wrocław"
"Kiełczów - Boczna","Wrocław"
"Kiełczów - Brzozowa","Wrocław"
"Kiełczów - cmentarz","Wrocław"
"Kiełczów - Lipowa","Wrocław"
"Kiełczów - Ładna","Wrocław"
"Kiełczów - Mleczna","Wrocław"
"Kiełczów - osiedle","Wrocław"
"Kiełczów - pętla/Wrocławska","Wrocław"
"Kiełczów - pętla (Plac Jana Pawła)","Wrocław"
"Kiełczów - Rzeczna","Wrocław"
"Kiełczów - Sielska Dolina","Wrocław"
"Kiełczów - Sielska Zagroda","Wrocław"
"Kiełczów - Sosnowa","Wrocław"
"Kiełczów - WODROL","Wrocław"
"Kiełczów - Wrocławska","Wrocław"
"Kiełczów - Zgodna","Wrocław"
"KLECINA","Wrocław"
"KLECINA (Stacja kolejowa)","Wrocław"
"Kleczkowska","Wrocław"
"Klimasa","Wrocław"
"Kliniki","Wrocław"
"KŁOKOCZYCE","Wrocław"
"Kmieca","Wrocław"
"KMINKOWA","Wrocław"
"Kobierzycka","Wrocław"
"Kochanowskiego","Wrocław"
"KOLBUSZOWSKA (Stadion)","Wrocław"
"Kolejowa","Wrocław"
"Kolista","Wrocław"
"Kolista","Wrocław"
"Kolonia Kiełczów","Wrocław"
"Kołobrzeska","Wrocław"
"Komandorska","Wrocław"
"Kominiarska","Wrocław"
"Kominiarska-plac sportowy","Wrocław"
"Komuny Paryskiej","Wrocław"
"Komuny Paryskiej (szkoła)","Wrocław"
"Konduktorska","Wrocław"
"Końcowa","Wrocław"
"Kopańskiego","Wrocław"
"Kopernika","Wrocław"
"Kosmonautów (Nowe Żerniki)","Wrocław"
"Kosmonautów (Szpital)","Wrocław"
"Kossak-Szczuckiej","Wrocław"
"Koszarowa","Wrocław"
"KOSZAROWA (Szpital)","Wrocław"
"KOSZAROWA (Uniwersytet)","Wrocław"
"Kościelna","Wrocław"
"Kościuszki","Wrocław"
"Kośnego","Wrocław"
"Kośnego1","Wrocław"
"Kotowice II-Spacerowa/Leśna","Wrocław"
"Kotowice - Cmentarna","Wrocław"
"Kotowice - Główna","Wrocław"
"Kotowice - Ogrodowa","Wrocław"
"KOWALE","Wrocław"
"Kowale (Stacja kolejowa)","Wrocław"
"Kowalska","Wrocław"
"Kowalska 56","Wrocław"
"Kowalska I","Wrocław"
"KOWALSKA (Urząd Pocztowy)","Wrocław"
"Kowieńska","Wrocław"
"Kozanowska","Wrocław"
"KOZANÓW","Wrocław"
"KOZANÓW (Dokerska)","Wrocław"
"Kozia","Wrocław"
"Krajobrazowa","Wrocław"
"Krakowiany","Wrocław"
"Krakowiany - skrzy.","Wrocław"
"Krakowska","Wrocław"
"KRAKOWSKA (Centrum handlowe)","Wrocław"
"Krasińskiego","Wrocław"
"Krępice","Wrocław"
"Krępicka","Wrocław"
"Krępicka - szkoła","Wrocław"
"KROMERA","Wrocław"
"Królewiecka","Wrocław"
"Królewiecka (Staw)","Wrocław"
"Królewska","Wrocław"
"Krucza","Wrocław"
"Krynicka","Wrocław"
"Krzelowska","Wrocław"
"Krzemieniecka","Wrocław"
"KRZYKI","Wrocław"
"KRZYŻANOWICE","Wrocław"
"Księska","Wrocław"
"KSIĘŻE MAŁE","Wrocław"
"Księże Wielkie","Wrocław"
"Kurpiów","Wrocław"
"Kutrzeby","Wrocław"
"KUŹNIKI","Wrocław"
"KUŹNIKI (Stacja kolejowa)","Wrocław"
"Kwiatkowskiego","Wrocław"
"Kwiatkowskiego (Rondo)","Wrocław"
"Kwidzyńska","Wrocław"
"Kwiska","Wrocław"
"Lamowice","Wrocław"
"Las Mokrzański","Wrocław"
"Las Osobowicki","Wrocław"
"Las Ratyński","Wrocław"
"Lawendowa","Wrocław"
"Lekarska","Wrocław"
"LEŚNICA","Wrocław"
"Leśnica (stacja kolejowa)","Wrocław"
"LEŚNICA - Hermes","Wrocław"
"Libelta","Wrocław"
"LIPA PIOTROWSKA","Wrocław"
"Lipska","Wrocław"
"LITEWSKA (Pętla)","Wrocław"
"LITOMSKA (ZUS)","Wrocław"
"Lubelska","Wrocław"
"LUTYNIA","Wrocław"
"Lutynia I","Wrocław"
"Lutynia Osiedle","Wrocław"
"Lutynia - Kolonia","Wrocław"
"Lutynia - Straż","Wrocław"
"Łosice","Wrocław"
"Łosice - plac zabaw","Wrocław"
"Łososiowicka","Wrocław"
"Łowęcice - Staw","Wrocław"
"ŁOZINA","Wrocław"
"Łozina Cmentarz","Wrocław"
"Łozina - cmentarz","Wrocław"
"Łozina - kościół","Wrocław"
"Łozina - Milicka","Wrocław"
"Łozina - Milicka/poczta","Wrocław"
"Łozina - Milicka/szkoła","Wrocław"
"Łozina - Nowego Osiedla","Wrocław"
"Łozina - Nowego Osiedla I","Wrocław"
"Łozina - Nowego Osiedla II","Wrocław"
"Łozina - Ośrodek zdrowia","Wrocław"
"Łozina - skrzy.","Wrocław"
"Łozina - Wrocławska","Wrocław"
"Łozina - Wrocławska (na wys. nr 18)","Wrocław"
"Ługowa","Wrocław"
"Łukaszowice","Wrocław"
"Łużycka","Wrocław"
"Malinowa","Wrocław"
"Malinowskiego","Wrocław"
"Malwowa","Wrocław"
"Małomicka","Wrocław"
"Małopanewska","Wrocław"
"Małopolska","Wrocław"
"Marcepanowa","Wrocław"
"Marchewkowa","Wrocław"
"MARINO","Wrocław"
"Marszowice","Wrocław"
