"Stop name","City"
"Jasień Działki","Gdańsk"
"Jasień PKM","Gdańsk"
"Jasień Pólnicy","Gdańsk"
"Jasieńska","Gdańsk"
"Jaśkowa Dolina","Gdańsk"
"Jaworowa","Gdańsk"
"Jaworzniaków","Gdańsk"
"Jednorożca","Gdańsk"
"Jeleniogórska","Gdańsk"
"Jelitkowo","Gdańsk"
"Jelitkowo Kapliczna","Gdańsk"
"Jeziorowa","Gdańsk"
"Jodowa","Gdańsk"
"Kaczeńce - Sienna","Gdańsk"
"Kamienna Grobla","Gdańsk"
"Kampinoska","Gdańsk"
"Kanałowa","Gdańsk"
"Karczemki","Gdańsk"
"Karczemki Szkoła","Gdańsk"
"Karskiego","Gdańsk"
"Kartuska","Gdańsk"
"Karwieńska","Gdańsk"
"Kasztanowa","Gdańsk"
"Katarzynki","Gdańsk"
"Katownia","Gdańsk"
"Kempingowa","Gdańsk"
"Kępna","Gdańsk"
"Kielecka","Gdańsk"
"Kiełpinek","Gdańsk"
"Kiełpinek PKM","Gdańsk"
"Kiełpino - Szkoła","Gdańsk"
"Kiełpino Górne","Gdańsk"
"Kiełpino Górne (Węsierska)","Gdańsk"
"Kilińskiego","Gdańsk"
"Kliniczna","Gdańsk"
"Kliniczna - Szpital","Gdańsk"
"Klonowa","Gdańsk"
"Klonowicza","Gdańsk"
"Kłosowa","Gdańsk"
"Knyszyńska","Gdańsk"
"Kokoszki","Gdańsk"
"Kokoszki - Poczta","Gdańsk"
"Kolonia Mysia","Gdańsk"
"Kolonia Uroda","Gdańsk"
"Kolorowa","Gdańsk"
"Kolumba","Gdańsk"
"Kołobrzeska","Gdańsk"
"Komary","Gdańsk"
"Konkordii","Gdańsk"
"Kontenerowa","Gdańsk"
"Kopalniana","Gdańsk"
"Kopeckiego","Gdańsk"
"Korczaka","Gdańsk"
"Kosmonautów","Gdańsk"
"Kościuszki","Gdańsk"
"Kowale Kasztelańska","Gdańsk"
"Kowale Osiedle Cytrusowe","Gdańsk"
"Kowale Osiedle Olimp","Gdańsk"
"Kowale Plac Afrodyty","Gdańsk"
"Kowale Starowiejska","Gdańsk"
"Kowale Szkoła Metropolitalna","Gdańsk"
"Kowale Szlachecka","Gdańsk"
"Koziorożca","Gdańsk"
"Krasickiego","Gdańsk"
"Kręta","Gdańsk"
"Krucza","Gdańsk"
"Krynicka","Gdańsk"
"Krzemowa","Gdańsk"
"Ku Ujściu","Gdańsk"
"Kujawska","Gdańsk"
"Kukawka","Gdańsk"
"Kurpińskiego","Gdańsk"
"Kwiatowa","Gdańsk"
"Latarnia Morska","Gdańsk"
"Lawendowe Wzgórze","Gdańsk"
"Lazurowa","Gdańsk"
"Legionów","Gdańsk"
"Lenartowicza","Gdańsk"
"Leszczynowa","Gdańsk"
"Leszczyńskich","Gdańsk"
"Leśna Góra","Gdańsk"
"Leśna Góra - Przychodnia","Gdańsk"
"Leźnieńska","Gdańsk"
"Liliowa","Gdańsk"
"Lipce - Niegowska","Gdańsk"
"Lipowa","Gdańsk"
"Lipuska","Gdańsk"
"Lubowidzka","Gdańsk"
"Lwowska","Gdańsk"
"Łagiewniki","Gdańsk"
"Łanowa I","Gdańsk"
"Łanowa II","Gdańsk"
"Łanowa III","Gdańsk"
"Łanowa IV","Gdańsk"
"Łapińska","Gdańsk"
"Łęczycka","Gdańsk"
"Łostowice Świętokrzyska","Gdańsk"
"Łowicka","Gdańsk"
"Łódzka","Gdańsk"
"Maciejkowa","Gdańsk"
"Maćkowy","Gdańsk"
"Maki","Gdańsk"
"Małkowo","Gdańsk"
